,rest_wave,flux
0,98.8988,3.6932536759561246e-15
1,102.1592,3.741135568783901e-15
2,104.33279999999999,4.567870128587699e-15
3,106.5064,6.5721668183678754e-15
4,108.67999999999999,9.741938366194705e-15
5,110.8536,8.3822474246704e-15
6,113.0272,1.0729792801664784e-14
7,115.2008,1.7450981115282774e-14
8,117.3744,2.0386125002458945e-14
9,119.548,2.500991066544373e-14
10,123.8952,1.9863285920056282e-14
11,128.2424,2.6569103791434243e-14
12,131.5028,5.203515397994671e-14
13,135.85,5.8459390600064e-14
14,138.0236,4.753059577805547e-14
15,139.1104,4.974534371578813e-14
16,142.3708,4.8472754586693927e-14
17,143.45759999999999,5.794828264495656e-14
18,145.6312,5.468110763124404e-14
19,148.8916,6.525703888359383e-14
20,152.152,8.503038560866568e-14
21,155.4124,9.576869546599144e-14
22,159.7596,7.146778379526449e-14
23,164.1068,9.718749517739011e-14
24,168.454,1.0740769689617798e-13
25,172.8012,1.5990057400674822e-13
26,176.0616,8.64782783277932e-14
27,180.40879999999999,1.0677591018214659e-13
28,184.756,8.74388133867909e-14
29,188.0164,1.3671092073301144e-13
30,192.3636,1.746409172529052e-13
31,195.624,1.3888291309531834e-13
32,197.7976,1.4718534505952752e-13
33,202.1448,1.4493246377007649e-13
34,207.5788,2.0010467197928728e-13
35,210.8392,1.4092462848937613e-13
36,215.1864,3.3307645250294857e-13
37,219.5336,2.96372412069261e-13
38,222.794,2.617546844565547e-13
39,228.228,3.3631802299501375e-13
40,234.7488,6.626956221857417e-13
41,239.096,3.507616061344016e-13
42,242.3564,5.978810894536914e-13
43,246.7036,5.357376763266955e-13
44,249.964,8.869855324485658e-13
45,254.31119999999999,1.1996489528282374e-12
46,260.832,1.596889194262019e-12
47,267.3528,6.969958003419099e-12
48,273.8736,1.1242638212181793e-11
49,279.3076,2.763489794693744e-11
50,282.568,5.461297760936424e-12
51,286.91519999999997,1.0840261227136701e-11
52,292.3492,1.3545679858879839e-11
53,297.7832,3.9600462234937104e-11
54,303.2172,1.7918594677068667e-11
55,308.6512,1.65834585046788e-11
56,315.17199999999997,9.48659356736912e-12
57,321.6928,1.3985177724303305e-11
58,327.1268,1.5438460635957923e-11
59,334.7344,2.5212592794452494e-11
60,345.6024,2.669940494631051e-11
61,356.4704,6.236905196386402e-11
62,367.3384,3.662032524948473e-11
63,378.2064,5.045319751092559e-11
64,387.9876,8.994997191414891e-12
65,397.7688,4.6362775782154116e-11
66,407.55,4.8019771615775985e-11
67,418.418,6.126571184429839e-11
68,429.286,4.099132677729432e-11
69,440.154,5.936868289237408e-11
70,449.9352,6.781663002039686e-11
71,458.6296,7.364606030928794e-11
72,467.324,7.141894987144458e-11
73,479.2788,5.0877224896481426e-11
74,490.1468,1.1660132509207776e-10
75,499.928,7.352487644653955e-11
76,510.796,1.461929230690051e-10
77,521.664,8.865160330673234e-11
78,532.532,1.0564863681110015e-10
79,543.4,1.7253436154213955e-10
80,549.9208,1.237964006829216e-10
81,556.4416,1.6810248782232076e-10
82,565.136,1.9448989470608858e-10
83,576.004,1.8702622088693988e-10
84,586.872,2.7356831745180395e-11
85,597.74,3.7087217177577965e-11
86,608.608,2.0027016951287055e-10
87,619.476,2.1343354686051154e-10
88,630.3439999999999,1.6693295651418768e-10
89,641.212,2.7905745146416224e-10
90,652.08,1.947654305310663e-10
91,662.948,3.4759189454071277e-10
92,673.816,2.2353233760391642e-10
93,684.684,2.2665421162914964e-10
94,695.552,2.378966926690113e-10
95,706.42,2.696276568924798e-10
96,715.1144,2.1425904092586797e-10
97,722.722,2.2678372441296963e-10
98,733.59,2.764997194124942e-10
99,744.458,2.777267579661431e-10
100,755.326,2.5473246069056543e-10
101,766.194,2.667709794452788e-10
102,778.1487999999999,3.291197073253545e-10
103,789.0168,3.2018564889622913e-10
104,798.798,3.0511721617053944e-10
105,809.6659999999999,2.700786517538627e-10
106,820.534,1.848502058220608e-10
107,831.402,3.525900426929646e-10
108,842.27,3.063940423677722e-10
109,853.138,7.891518034419534e-11
110,864.006,3.520816944664698e-10
111,874.874,3.430173632105475e-10
112,885.742,3.3463534043674756e-10
113,896.61,3.457928157888465e-10
114,907.478,2.8611850152745577e-10
115,918.346,3.3591356687806497e-10
116,929.2139999999999,3.163976332417687e-10
117,940.082,3.272791564715533e-10
118,950.95,3.46587417217898e-10
119,961.818,3.626350621534717e-10
120,972.686,3.74552652040405e-10
121,983.554,3.9062007310066687e-10
122,994.422,1.100534229594558e-09
123,1005.29,9.986765140024684e-10
124,1016.158,1.3632872933466746e-09
125,1027.026,1.4517237299749868e-09
126,1037.894,9.750118799964167e-10
127,1048.762,1.340978187637848e-09
128,1059.6299999999999,7.683159728158463e-10
129,1070.498,9.435547719950762e-10
130,1081.366,9.862645150140447e-10
131,1092.234,1.436764401540421e-09
132,1103.102,1.2540761718765895e-09
133,1113.97,8.816538436413354e-10
134,1124.838,1.0177892060317107e-09
135,1135.706,1.5638450278227478e-09
136,1146.574,1.5529854077952413e-09
137,1157.442,1.5505405755616073e-09
138,1168.31,1.5770272059888708e-09
139,1179.1779999999999,1.283042889201981e-09
140,1190.046,1.5956481392003148e-09
141,1200.914,1.5538112542994429e-09
142,1211.782,1.2843470417823406e-09
143,1222.65,1.1453770939701893e-09
144,1233.518,1.5144064424983553e-09
145,1244.386,1.297679040331136e-09
146,1255.254,1.489067922578933e-09
147,1266.122,1.525756753759952e-09
148,1276.99,1.0586097085187436e-09
149,1287.858,1.3567127130178686e-09
150,1298.7259999999999,1.4225755967024316e-09
151,1309.594,1.3221490375360636e-09
152,1320.462,9.219091959621936e-10
153,1331.33,1.1162034482885242e-09
154,1342.198,1.2562123588164196e-09
155,1353.066,1.7468984300911452e-09
156,1363.934,1.6315580958920285e-09
157,1374.802,1.5560007613736716e-09
158,1385.67,1.743713766374247e-09
159,1396.538,1.7784688752383802e-09
160,1407.406,1.5603755051140505e-09
161,1418.274,1.6368160492104304e-09
162,1429.142,1.7082726528560275e-09
163,1440.01,1.6310650050510013e-09
164,1450.878,1.576741857090367e-09
165,1461.746,1.8458164496732151e-09
166,1472.614,1.6491631088956298e-09
167,1483.482,1.569724177326417e-09
168,1494.35,1.694881452114466e-09
169,1505.218,1.6187567322662644e-09
170,1516.086,1.7542993852525377e-09
171,1526.954,1.8641246963436696e-09
172,1537.822,1.7054692099343708e-09
173,1548.69,1.6461640824557948e-09
174,1559.558,1.6949993506808927e-09
175,1567.1656,1.7794894458932733e-09
176,1572.5996,1.8386101422223166e-09
177,1581.294,1.7426444878851728e-09
178,1592.162,1.706914505546102e-09
179,1603.03,1.7576026286854273e-09
180,1613.898,1.7541207920848491e-09
181,1624.766,1.8122349408622257e-09
182,1635.634,1.6785489835415647e-09
183,1643.2416,1.5803940051403057e-09
184,1648.6756,1.6779255596182629e-09
185,1657.37,1.5975959733799135e-09
186,1668.238,1.4401730926899609e-09
187,1679.106,1.225590312976152e-09
188,1689.974,1.8204747568874884e-09
189,1700.8419999999999,1.5688402179957727e-09
190,1711.71,1.5223202075109909e-09
191,1722.578,1.6189517818256728e-09
192,1733.446,1.7585842164590254e-09
193,1744.314,1.7961750165099788e-09
194,1755.182,1.777596500397567e-09
195,1766.05,1.7375674022352193e-09
196,1776.918,1.6653422067558079e-09
197,1787.786,1.7871833692106947e-09
198,1798.654,1.7220497027236216e-09
199,1809.522,1.6905203630951233e-09
200,1817.1296,1.5512558265887387e-09
201,1822.5636,1.734382133623811e-09
202,1831.258,1.9368877210822187e-09
203,1842.126,1.8032688412105471e-09
204,1852.994,1.809126244076976e-09
205,1863.862,1.7184314506725376e-09
206,1874.73,1.6913160477748222e-09
207,1885.598,1.8844776867610754e-09
208,1896.466,1.7809903105211716e-09
209,1907.334,1.968338572416377e-09
210,1918.202,1.8432603627644873e-09
211,1929.07,1.8253060654196952e-09
212,1939.9379999999999,1.8927776028514403e-09
213,1950.806,2.0557963403468986e-09
214,1961.674,1.9596497150048663e-09
215,1972.542,1.9588717615975863e-09
216,1983.41,1.9158113760829476e-09
217,1994.278,1.912114138362254e-09
218,2005.146,1.78651166399429e-09
219,2016.014,1.8209404079556863e-09
220,2026.882,1.8721879495331327e-09
221,2037.75,1.9484027833017328e-09
222,2048.618,1.8164797826331148e-09
223,2059.486,1.7959194117946763e-09
224,2070.354,1.946315285175113e-09
225,2081.2219999999998,1.8968794407168063e-09
226,2092.09,1.8943557922510266e-09
227,2102.958,1.911236045809163e-09
228,2113.826,2.016635595251032e-09
229,2124.694,1.890914451702378e-09
230,2137.7356,2.0812576837195218e-09
231,2147.5168,2.073738250500378e-09
232,2156.2112,2.0203062510843946e-09
233,2168.166,2.001583294863891e-09
234,2179.034,1.9689403891487446e-09
235,2189.902,1.987107524999262e-09
236,2200.77,1.996369628762164e-09
237,2211.638,1.936399725448472e-09
238,2222.506,2.0375363565653533e-09
239,2233.374,2.040678093041756e-09
240,2244.242,2.0285704155808397e-09
241,2254.0232,2.150236169471786e-09
242,2258.3704,2.0819526822588977e-09
243,2265.978,2.0694621671509546e-09
244,2276.846,2.079898780744394e-09
245,2287.714,2.0757902321649806e-09
246,2298.582,2.0559217672555184e-09
247,2309.45,2.1161430808031115e-09
248,2320.3179999999998,1.992489072498784e-09
249,2331.186,2.0884846695134434e-09
250,2342.054,2.11634303069618e-09
251,2352.922,2.063554564340255e-09
252,2363.79,2.052111931084816e-09
253,2374.658,2.0778615252070575e-09
254,2385.526,2.1492116875826707e-09
255,2396.394,2.1071984841062575e-09
256,2407.262,2.0180523444790376e-09
257,2418.13,2.0033029143380042e-09
258,2428.998,2.1354910561386314e-09
259,2439.866,2.044316735024725e-09
260,2450.734,1.9871049421799737e-09
261,2461.602,2.001463761422623e-09
262,2472.47,2.0688906361411866e-09
263,2483.338,2.1312380474127585e-09
264,2494.206,2.054590793562568e-09
265,2505.074,2.061419675218341e-09
266,2515.942,1.993596869108641e-09
267,2526.81,1.7525601026433405e-09
268,2537.678,1.878343901723765e-09
269,2548.546,1.8217658195182347e-09
270,2559.4139999999998,1.9756527406278844e-09
271,2570.282,1.8413945777189021e-09
272,2581.15,1.893339529830349e-09
273,2592.018,1.7619079611608735e-09
274,2602.886,1.842263601528012e-09
275,2613.754,1.816152756232941e-09
276,2624.622,1.8600403054548153e-09
277,2635.49,1.9909633646431348e-09
278,2646.358,1.963710209235193e-09
279,2657.226,2.0476101942846102e-09
280,2668.094,2.0319675498912837e-09
281,2678.962,2.0235717597972897e-09
282,2689.83,1.962140678178616e-09
283,2700.698,1.984877633354693e-09
284,2711.566,1.9612573343398165e-09
285,2722.434,2.1111565061443126e-09
286,2731.1284,1.929646261440707e-09
287,2736.5624,1.900627178758172e-09
288,2744.17,1.8468499908632552e-09
289,2755.038,1.866803387969305e-09
290,2765.906,1.8914650334263904e-09
291,2776.774,2.012251445012288e-09
292,2787.642,1.9912869918379123e-09
293,2798.5099999999998,2.0904747859637777e-09
294,2809.378,2.0958638807407028e-09
295,2820.246,2.0694088742643885e-09
296,2831.114,2.0071184718159878e-09
297,2841.982,1.9898968236505054e-09
298,2852.85,2.110181816541264e-09
299,2863.718,2.195611491766079e-09
300,2874.586,2.412633365688108e-09
301,2885.454,2.462050099861842e-09
302,2896.322,2.307892501714946e-09
303,2907.19,2.377585672758547e-09
304,2918.058,2.4016905495960215e-09
305,2928.926,2.2996329564154114e-09
306,2939.794,2.3435491449499875e-09
307,2950.662,2.251608735777584e-09
308,2961.5299999999997,2.250967867989733e-09
309,2972.398,2.358257355777252e-09
310,2983.266,2.057281218887736e-09
311,2994.134,2.1218971609819805e-09
312,3005.002,2.2256828656396848e-09
313,3015.87,2.3071467485448826e-09
314,3026.738,2.1320310250727444e-09
315,3037.6059999999998,1.7204849551007253e-09
316,3048.474,1.8274191804357e-09
317,3059.342,2.3440189412519066e-09
318,3070.21,2.51892633150058e-09
319,3081.078,2.4611169225485176e-09
320,3091.946,2.3783294717105312e-09
321,3102.814,2.3036107266387162e-09
322,3113.682,2.5002445389114113e-09
323,3124.55,2.546257197534046e-09
324,3135.418,2.556305739270892e-09
325,3146.286,2.5745560628884685e-09
326,3162.588,2.7942175149659083e-09
327,3184.324,2.733833532456931e-09
328,3206.06,2.715073292567755e-09
329,3227.796,2.775838653542927e-09
330,3249.532,2.8208716201931477e-09
331,3271.268,2.8729495398882323e-09
332,3293.004,2.8986142864475286e-09
333,3314.74,2.9335272137805765e-09
334,3336.476,2.983591679595728e-09
335,3358.212,3.0310125846812787e-09
336,3379.948,3.0528136020504242e-09
337,3401.6839999999997,3.0394484750114376e-09
338,3423.42,3.0856649521703753e-09
339,3445.156,3.125093798357089e-09
340,3466.892,3.015425386415761e-09
341,3488.628,3.1223916427972617e-09
342,3510.364,3.020192516310948e-09
343,3532.1,3.2317478870620013e-09
344,3553.836,3.3842487624257386e-09
345,3575.572,3.401545732908923e-09
346,3597.308,3.4173388753698814e-09
347,3619.044,3.421497260738049e-09
348,3640.7799999999997,3.3887676404483777e-09
349,3662.516,3.2701245022333898e-09
350,3684.252,3.340140338785588e-09
351,3705.988,3.399928998057247e-09
352,3727.724,3.4640636791145453e-09
353,3749.46,3.5170390003111967e-09
354,3771.196,3.5439978130482753e-09
355,3792.932,3.644168181255079e-09
356,3814.668,3.736862023914573e-09
357,3836.404,3.679290677148537e-09
358,3858.14,3.802480950067284e-09
359,3879.8759999999997,3.5508071861226853e-09
360,3901.612,3.589445008309017e-09
361,3914.46601832,4.066586726729824e-09
362,3915.444247,4.029281581954082e-09
363,3916.42280172,3.991964003511603e-09
364,3917.4010304,3.95465885873586e-09
365,3918.3793677599997,3.917349569404544e-09
366,3919.3579224799996,3.880031990962066e-09
367,3920.33615116,3.842726846186305e-09
368,3921.31470588,3.813882985827711e-09
369,3922.29293456,3.7939827491870024e-09
370,3923.2711632399996,3.774082512546303e-09
371,3924.2497179599995,3.754175643230346e-09
372,3925.22805532,3.7342731956978816e-09
373,3926.20650136,3.7143685372736714e-09
374,3927.1848387200002,3.694466089741207e-09
375,3928.1630674,3.6700178516601844e-09
376,3929.1416221199997,3.6433745847893105e-09
377,3930.1198508,3.6167401950619813e-09
378,3931.09840552,3.5900969281911074e-09
379,3932.0766342,3.56346253846379e-09
380,3933.05497156,3.536825189688625e-09
381,3934.0334175999997,3.5101848818656118e-09
382,3935.01175496,3.5702772354158365e-09
383,3935.99030968,3.645388786345393e-09
384,3936.9685383600004,3.720475311214043e-09
385,3937.94676704,3.795561836082623e-09
386,3938.92532176,3.87067338701218e-09
387,3939.90355044,3.945759911880795e-09
