Title: Multiwavelength Analysis of Six Luminous, Fast Blue Optical Transients
Authors: Sevilla, Cassie et al.
Table: Optical Photometry
================================================================================
Byte-by-byte Description of file: datafile10.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label         Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---     Object        Name of the LFBOT observed
  12- 25 A14    ---     Date-Time     YYYYMMDD-hh:ss UTC Date and Time when Observation was taken
  27- 29 I3     d       t-rest        Rest-frame days after t0 that the observation was taken
  31- 44 A14    ---     Facility      Facility/Instrument that took the Observation
  46- 49 A4     ---     Filter        Filter of the Observation
  51- 55 F2.2   mag     AB-Magnitude  Measured AB magnitude if detection, 3-sigma error if non-detection
  57- 60 F1.2   mag     AB-Mag-Error  ? AB magnitude error, blank if non-detection
--------------------------------------------------------------------------------
Note (1):   We omit all observations prior to six days before t0 and all ZTF non-detections more than fifty days after t0. For non-detections, we provide 3-σ upper limits.
--------------------------------------------------------------------------------
AT2022abfc 20221114-08:31  -6 P48/ZTF        r    19.68      
AT2022abfc 20221114-10:40  -6 P48/ZTF        g    19.65      
AT2022abfc 20221115-09:09  -5 P48/ZTF        r    20.40      
AT2022abfc 20221115-10:08  -5 P48/ZTF        g    20.19      
AT2022abfc 20221116-08:19  -4 P48/ZTF        r    19.36      
AT2022abfc 20221117-08:01  -3 P48/ZTF        g    19.69      
AT2022abfc 20221117-08:48  -3 P48/ZTF        r    19.53      
AT2022abfc 20221118-08:04  -2 P48/ZTF        g    20.51      
AT2022abfc 20221118-09:32  -2 P48/ZTF        r    20.13      
AT2022abfc 20221119-09:34  -2 P48/ZTF        g    19.71      
AT2022abfc 20221120-08:01  -1 P48/ZTF        r    20.35      
AT2022abfc 20221121-08:15   0 P48/ZTF        r    19.46 0.11 
AT2023hkw  20230503-20:54   3 LT/IO:O        i    19.38 0.36 
AT2023hkw  20230503-20:56   3 LT/IO:O        z    20.20 0.38 
AT2023hkw  20230509-06:15   7 P48/ZTF        g    20.77      
AT2023hkw  20230509-07:58   7 P48/ZTF        r    20.27      
AT2023hkw  20230510-20:54   8 LT/IO:O        r    21.05 0.36 
AT2023hkw  20230510-20:56   8 LT/IO:O        i    20.81      
AT2023hkw  20230511-21:19   9 LT/IO:O        g    22.48 0.31 
AT2023hkw  20230511-21:23   9 LT/IO:O        r    22.14      
AT2023hkw  20230511-21:23   9 LT/IO:O        r    22.00      
AT2023hkw  20230511-21:26   9 LT/IO:O        i    22.38 0.41 
AT2023hkw  20230512-21:50  10 LT/IO:O        g    22.57      
AT2023hkw  20230512-22:00  10 LT/IO:O        r    22.23 0.25 
AT2023hkw  20230512-22:11  10 LT/IO:O        i    22.22      
AT2023hkw  20230513-04:13  10 P48/ZTF        r    20.96      
AT2023hkw  20230513-06:54  10 P48/ZTF        g    20.90      
AT2023hkw  20230513-21:17  10 LT/IO:O        g    22.47 0.22 
AT2023hkw  20230513-21:27  10 LT/IO:O        r    22.81 0.32 
AT2023hkw  20230513-21:37  10 LT/IO:O        i    22.68 0.34 
AT2023hkw  20230515-07:22  11 P48/ZTF        r    20.81      
AT2023hkw  20230517-05:27  13 P48/ZTF        g    20.85      
AT2023hkw  20230517-05:43  13 P48/ZTF        r    20.74      
AT2023hkw  20230519-04:54  14 P48/ZTF        g    21.20      
AT2023hkw  20230521-05:20  16 P48/ZTF        g    21.11      
AT2023hkw  20230525-04:20  19 P48/ZTF        i    20.18      
AT2023hkw  20230528-05:55  21 P48/ZTF        g    20.50      
AT2023hkw  20230528-06:05  21 P48/ZTF        g    20.49      
AT2023hkw  20230528-06:08  21 P48/ZTF        g    20.61      
AT2023hkw  20230528-06:26  21 P48/ZTF        r    20.51      
AT2023hkw  20230528-06:39  21 P48/ZTF        r    20.63      
AT2023hkw  20230528-06:42  21 P48/ZTF        r    20.62      
AT2023hkw  20230530-05:20  22 P48/ZTF        i    20.21      
AT2023hkw  20230602-05:18  25 P48/ZTF        r    20.12      
AT2023hkw  20230604-05:19  26 P48/ZTF        g    19.58      
AT2023hkw  20230604-05:46  26 P48/ZTF        r    19.98      
AT2023vth  20231014-02:54  -6 P48/ZTF        g    20.12      
AT2023vth  20231014-03:06  -6 P48/ZTF        r    20.15      
AT2023vth  20231014-03:26  -6 P48/ZTF        r    20.33      
AT2023vth  20231016-03:05  -4 P48/ZTF        r    19.58 0.23 
AT2023vth  20231016-03:22  -4 P48/ZTF        r    19.91      
AT2023vth  20231018-02:46  -2 P48/ZTF        r    17.38 0.02 
AT2023vth  20231020-03:08   0 P48/ZTF        g    16.84 0.02 
AT2023vth  20231020-03:37   0 P48/ZTF        r    17.15 0.02 
AT2023vth  20231022-02:28   2 P60/SEDM       r    16.78      
AT2023vth  20231022-02:51   2 P48/ZTF        r    17.32 0.06 
AT2023vth  20231022-03:38   2 P48/ZTF        g    17.03 0.03 
AT2023vth  20231025-03:14   5 P48/ZTF        g    17.55 0.05 
AT2023vth  20231025-03:37   5 P48/ZTF        g    19.21      
AT2023vth  20231028-02:46   7 P48/ZTF        g    19.04      
AT2023vth  20231028-03:44   7 P48/ZTF        r    19.10      
AT2023vth  20231101-02:09  11 P48/ZTF        r    19.36 0.22 
AT2023vth  20231101-02:15  11 P48/ZTF        r    19.36 0.23 
AT2023vth  20231101-02:21  11 P48/ZTF        r    19.39 0.31 
AT2023vth  20231101-02:26  11 P48/ZTF        r    19.15 0.17 
AT2023vth  20231101-02:32  11 P48/ZTF        r    19.40 0.27 
AT2023vth  20231101-02:44  11 P48/ZTF        g    19.52      
AT2023vth  20231101-02:45  11 P48/ZTF        g    19.60 0.33 
AT2023vth  20231101-03:45  11 P48/ZTF        r    17.88      
AT2023vth  20231102-02:11  12 P48/ZTF        r    19.76 0.25 
AT2023vth  20231102-02:17  12 P48/ZTF        r    19.62 0.22 
AT2023vth  20231102-02:23  12 P48/ZTF        r    19.70 0.22 
AT2023vth  20231102-02:28  12 P48/ZTF        r    19.53 0.21 
AT2023vth  20231102-02:34  12 P48/ZTF        r    19.40 0.20 
AT2023vth  20231103-02:10  13 P48/ZTF        r    19.77 0.21 
AT2023vth  20231103-02:16  13 P48/ZTF        r    19.94      
AT2023vth  20231103-02:22  13 P48/ZTF        r    19.65      
AT2023vth  20231103-02:27  13 P48/ZTF        r    19.97 0.34 
AT2023vth  20231103-02:33  13 P48/ZTF        r    19.61 0.25 
AT2023vth  20231103-03:13  13 P48/ZTF        g    19.48      
AT2023vth  20231104-02:09  14 P48/ZTF        r    20.13 0.31 
AT2023vth  20231104-02:15  14 P48/ZTF        r    19.99 0.25 
AT2023vth  20231104-02:21  14 P48/ZTF        r    19.78      
AT2023vth  20231104-02:27  14 P48/ZTF        r    19.57 0.19 
AT2023vth  20231104-02:32  14 P48/ZTF        r    19.69 0.20 
AT2023vth  20231105-02:09  15 P48/ZTF        r    19.98 0.32 
AT2023vth  20231105-02:14  15 P48/ZTF        r    20.12 0.28 
AT2023vth  20231105-02:20  15 P48/ZTF        r    19.98 0.26 
AT2023vth  20231105-02:26  15 P48/ZTF        r    19.95 0.26 
AT2023vth  20231105-02:32  15 P48/ZTF        r    19.92 0.33 
AT2023vth  20231105-02:45  15 P48/ZTF        g    19.53      
AT2023vth  20231105-03:08  15 P48/ZTF        r    19.80      
AT2023vth  20231106-02:09  16 P48/ZTF        r    20.01      
AT2023vth  20231106-02:14  16 P48/ZTF        r    20.30 0.31 
AT2023vth  20231106-02:20  16 P48/ZTF        r    20.25 0.27 
AT2023vth  20231106-02:26  16 P48/ZTF        r    20.19 0.28 
AT2023vth  20231106-02:31  16 P48/ZTF        r    20.17 0.29 
AT2023vth  20231107-02:05  17 P48/ZTF        r    20.14      
AT2023vth  20231107-02:08  17 P48/ZTF        r    20.01      
AT2023vth  20231107-02:11  17 P48/ZTF        r    19.92      
AT2023vth  20231107-02:14  17 P48/ZTF        r    19.91      
AT2023vth  20231107-02:16  17 P48/ZTF        r    20.08      
AT2023vth  20231107-02:20  17 P48/ZTF        r    19.93      
AT2023vth  20231107-02:22  17 P48/ZTF        r    20.19      
AT2023vth  20231107-02:25  17 P48/ZTF        r    19.91 0.25 
AT2023vth  20231107-02:27  17 P48/ZTF        r    20.16      
AT2023vth  20231107-02:31  17 P48/ZTF        r    19.91      
AT2023vth  20231107-03:11  17 P48/ZTF        r    19.71      
AT2023vth  20231107-19:36  17 LT/IO:O        g    19.91      
AT2023vth  20231107-19:41  17 LT/IO:O        r    19.86      
AT2023vth  20231109-01:59  19 P60/SEDM       g    15.52      
AT2023vth  20231109-02:07  19 P60/SEDM       i    15.54      
AT2023vth  20231110-01:59  19 P60/SEDM       g    15.22      
AT2023vth  20231110-02:03  19 P60/SEDM       r    18.69      
AT2023vth  20231110-02:07  20 P60/SEDM       i    15.05      
AT2024qfm  20240722-07:45  -4 P48/ZTF        r    19.63      
AT2024qfm  20240722-09:35  -4 P48/ZTF        g    19.70      
AT2024qfm  20240724-09:51  -2 P48/ZTF        r    19.45 0.22 
AT2024qfm  20240724-10:36  -2 P48/ZTF        g    19.32 0.25 
AT2024qfm  20240727-08:18   0 P48/ZTF        r    19.29 0.10 
AT2024qfm  20240727-09:37   0 P48/ZTF        g    19.31 0.09 
AT2024qfm  20240729-08:24   2 P48/ZTF        g    20.12 0.15 
AT2024qfm  20240729-09:21   2 P48/ZTF        r    19.98 0.09 
AT2024qfm  20240730-00:32   2 LT/IO:O        g    20.22 0.10 
AT2024qfm  20240730-00:34   2 LT/IO:O        r    20.32 0.08 
AT2024qfm  20240730-00:37   2 LT/IO:O        i    20.53 0.09 
AT2024qfm  20240731-00:33   3 LT/IO:O        g    20.65 0.11 
AT2024qfm  20240731-00:35   3 LT/IO:O        r    20.74 0.10 
AT2024qfm  20240731-00:37   3 LT/IO:O        i    20.60 0.09 
AT2024qfm  20240731-00:45   3 LT/IO:O        i    20.66 0.08 
AT2024qfm  20240731-00:47   3 LT/IO:O        r    21.00 0.11 
AT2024qfm  20240731-10:08   3 P48/ZTF        g    20.51 0.15 
AT2024qfm  20240801-09:38   4 SWIFT/UVOT     uvw1 19.85 0.3  
AT2024qfm  20240801-10:13   4 SWIFT/UVOT     uvm2 20.81 0.18 
AT2024qfm  20240801-11:46   4 SWIFT/UVOT     uvw2 21.07 0.19 
AT2024qfm  20240802-11:40   5 SWIFT/UVOT     uvw1 20.52      
AT2024qfm  20240802-12:53   5 SWIFT/UVOT     uvw2 21.48 0.28 
AT2024qfm  20240802-13:00   5 SWIFT/UVOT     uvm2 21.37      
AT2024qfm  20240803-08:24   6 P48/ZTF        g    20.78      
AT2024qfm  20240803 10:10   6 SWIFT/UVOT     uvw2 21.61      
AT2024qfm  20240803 10:17   6 SWIFT/UVOT     uvm2 21.37      
AT2024qfm  20240804 03:57   6 SWIFT/UVOT     uvm2 20.96      
AT2024qfm  20240804 04:01   6 SWIFT/UVOT     uvw1 20.73      
AT2024qfm  20240804 04:33   6 SWIFT/UVOT     uvw2 21.51 0.31 
