#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	0.822	999	999	999
999	999	999	999	999	0.829	999	999	999
999	999	999	999	999	0.843	999	999	999
999	999	999	999	999	0.846	999	999	999
999	999	999	999	999	0.847	999	999	999
999	999	999	999	999	0.855	999	999	999
999	999	999	999	999	0.861	999	999	999
999	999	999	999	999	0.864	999	999	999
999	999	999	999	999	0.864	999	999	999
999	999	999	999	999	0.866	999	999	999
999	999	999	999	999	0.88	999	999	999
999	999	999	999	999	0.881	999	999	999
999	999	999	999	999	0.902	999	999	999
999	999	999	999	999	0.909	999	999	999
999	999	999	999	999	0.911	999	999	999
999	999	999	999	999	0.912	999	999	999
999	999	999	999	999	0.915	999	999	999
999	999	999	999	999	0.915	999	999	999
999	999	999	999	999	0.923	999	999	999
999	999	999	999	999	0.935	999	999	999
999	999	999	999	999	0.942	999	999	999
999	999	999	999	999	0.948	999	999	999
999	999	999	999	999	0.949	999	999	999
999	999	999	999	999	0.95	999	999	999
999	999	999	999	999	0.951	999	999	999
999	999	999	999	999	0.955	999	999	999
999	999	999	999	999	0.96	999	999	999
999	999	999	999	999	0.963	999	999	999
999	999	999	999	999	0.966	999	999	999
999	999	999	999	999	0.972	999	999	999
999	999	999	999	999	0.981	999	999	999
999	999	999	999	999	0.986	999	999	999
999	999	999	999	999	0.989	999	999	999
999	999	999	999	999	0.993	999	999	999
999	999	999	999	999	0.996	999	999	999
999	999	999	999	999	1.002	999	999	999
999	999	999	999	999	1.006	999	999	999
999	999	999	999	999	1.023	999	999	999
999	999	999	999	999	1.03	999	999	999
999	999	999	999	999	1.04	999	999	999
999	999	999	999	999	1.044	999	999	999
999	999	999	999	999	1.061	999	999	999
999	999	999	999	999	1.069	999	999	999
999	999	999	999	999	1.074	999	999	999
999	999	999	999	999	1.078	999	999	999
999	999	999	999	999	1.079	999	999	999
999	999	999	999	999	1.091	999	999	999
999	999	999	999	999	1.093	999	999	999
999	999	999	999	999	1.098	999	999	999
999	999	999	999	999	1.099	999	999	999
999	999	999	999	999	1.103	999	999	999
999	999	999	999	999	1.107	999	999	999
999	999	999	999	999	1.111	999	999	999
999	999	999	999	999	1.117	999	999	999
999	999	999	999	999	1.13	999	999	999
999	999	999	999	999	1.146	999	999	999
999	999	999	999	999	1.148	999	999	999
999	999	999	999	999	1.149	999	999	999
999	999	999	999	999	1.151	999	999	999
999	999	999	999	999	1.155	999	999	999
999	999	999	999	999	1.164	999	999	999
999	999	999	999	999	1.174	999	999	999
999	999	999	999	999	1.202	999	999	999
999	999	999	999	999	1.223	999	999	999
999	999	999	999	999	1.236	999	999	999
999	999	999	999	999	1.242	999	999	999
999	999	999	999	999	1.243	999	999	999
999	999	999	999	999	1.263	999	999	999
999	999	999	999	999	1.274	999	999	999
999	999	999	999	999	1.281	999	999	999
999	999	999	999	999	1.286	999	999	999
999	999	999	999	999	1.297	999	999	999
999	999	999	999	999	1.3	999	999	999
999	999	999	999	999	1.305	999	999	999
999	999	999	999	999	1.306	999	999	999
999	999	999	999	999	1.312	999	999	999
999	999	999	999	999	1.314	999	999	999
999	999	999	999	999	1.342	999	999	999
999	999	999	999	999	1.367	999	999	999
999	999	999	999	999	1.367	999	999	999
999	999	999	999	999	1.373	999	999	999
999	999	999	999	999	1.373	999	999	999
999	999	999	999	999	1.376	999	999	999
999	999	999	999	999	1.377	999	999	999
999	999	999	999	999	1.38	999	999	999
999	999	999	999	999	1.38	999	999	999
999	999	999	999	999	1.383	999	999	999
999	999	999	999	999	1.398	999	999	999
999	999	999	999	999	1.406	999	999	999
999	999	999	999	999	1.424	999	999	999
999	999	999	999	999	1.425	999	999	999
