#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	5.81	999	999	999
999	999	999	999	999	5.828	999	999	999
999	999	999	999	999	5.903	999	999	999
999	999	999	999	999	5.959	999	999	999
999	999	999	999	999	6.023	999	999	999
999	999	999	999	999	6.035	999	999	999
999	999	999	999	999	6.039	999	999	999
999	999	999	999	999	6.041	999	999	999
999	999	999	999	999	6.05	999	999	999
999	999	999	999	999	6.055	999	999	999
999	999	999	999	999	6.103	999	999	999
999	999	999	999	999	6.114	999	999	999
999	999	999	999	999	6.118	999	999	999
999	999	999	999	999	6.173	999	999	999
999	999	999	999	999	6.174	999	999	999
999	999	999	999	999	6.179	999	999	999
999	999	999	999	999	6.193	999	999	999
999	999	999	999	999	6.259	999	999	999
999	999	999	999	999	6.284	999	999	999
999	999	999	999	999	6.3	999	999	999
999	999	999	999	999	6.331	999	999	999
999	999	999	999	999	6.351	999	999	999
999	999	999	999	999	6.359	999	999	999
999	999	999	999	999	6.368	999	999	999
999	999	999	999	999	6.372	999	999	999
999	999	999	999	999	6.375	999	999	999
999	999	999	999	999	6.396	999	999	999
999	999	999	999	999	6.398	999	999	999
999	999	999	999	999	6.425	999	999	999
999	999	999	999	999	6.447	999	999	999
999	999	999	999	999	6.506	999	999	999
999	999	999	999	999	6.591	999	999	999
999	999	999	999	999	6.659	999	999	999
999	999	999	999	999	6.68	999	999	999
999	999	999	999	999	6.717	999	999	999
999	999	999	999	999	6.733	999	999	999
999	999	999	999	999	6.738	999	999	999
999	999	999	999	999	6.768	999	999	999
999	999	999	999	999	6.809	999	999	999
999	999	999	999	999	6.864	999	999	999
999	999	999	999	999	6.912	999	999	999
999	999	999	999	999	6.98	999	999	999
999	999	999	999	999	7.048	999	999	999
999	999	999	999	999	7.094	999	999	999
999	999	999	999	999	7.121	999	999	999
999	999	999	999	999	7.146	999	999	999
999	999	999	999	999	7.161	999	999	999
999	999	999	999	999	7.162	999	999	999
999	999	999	999	999	7.178	999	999	999
999	999	999	999	999	7.191	999	999	999
999	999	999	999	999	7.207	999	999	999
999	999	999	999	999	7.254	999	999	999
999	999	999	999	999	7.264	999	999	999
999	999	999	999	999	7.266	999	999	999
999	999	999	999	999	7.27	999	999	999
999	999	999	999	999	7.288	999	999	999
999	999	999	999	999	7.317	999	999	999
999	999	999	999	999	7.328	999	999	999
999	999	999	999	999	7.341	999	999	999
999	999	999	999	999	7.395	999	999	999
999	999	999	999	999	7.408	999	999	999
999	999	999	999	999	7.425	999	999	999
999	999	999	999	999	7.433	999	999	999
999	999	999	999	999	7.478	999	999	999
999	999	999	999	999	7.482	999	999	999
999	999	999	999	999	7.485	999	999	999
999	999	999	999	999	7.531	999	999	999
999	999	999	999	999	7.563	999	999	999
999	999	999	999	999	7.575	999	999	999
999	999	999	999	999	7.659	999	999	999
999	999	999	999	999	7.673	999	999	999
999	999	999	999	999	7.681	999	999	999
999	999	999	999	999	7.691	999	999	999
999	999	999	999	999	7.72	999	999	999
999	999	999	999	999	7.802	999	999	999
999	999	999	999	999	7.82	999	999	999
999	999	999	999	999	7.823	999	999	999
999	999	999	999	999	7.824	999	999	999
999	999	999	999	999	7.839	999	999	999
999	999	999	999	999	7.856	999	999	999
999	999	999	999	999	7.903	999	999	999
999	999	999	999	999	7.936	999	999	999
999	999	999	999	999	7.965	999	999	999
999	999	999	999	999	8	999	999	999
999	999	999	999	999	8.002	999	999	999
999	999	999	999	999	8.028	999	999	999
999	999	999	999	999	8.047	999	999	999
999	999	999	999	999	8.059	999	999	999
999	999	999	999	999	8.108	999	999	999
999	999	999	999	999	8.131	999	999	999
999	999	999	999	999	8.156	999	999	999
999	999	999	999	999	8.221	999	999	999
999	999	999	999	999	8.237	999	999	999
999	999	999	999	999	8.275	999	999	999
999	999	999	999	999	8.305	999	999	999
999	999	999	999	999	8.314	999	999	999
999	999	999	999	999	8.337	999	999	999
999	999	999	999	999	8.413	999	999	999
999	999	999	999	999	8.481	999	999	999
999	999	999	999	999	8.508	999	999	999
999	999	999	999	999	8.526	999	999	999
999	999	999	999	999	8.531	999	999	999
999	999	999	999	999	8.569	999	999	999
999	999	999	999	999	8.615	999	999	999
999	999	999	999	999	8.626	999	999	999
999	999	999	999	999	8.653	999	999	999
999	999	999	999	999	8.657	999	999	999
999	999	999	999	999	8.676	999	999	999
999	999	999	999	999	8.72	999	999	999
999	999	999	999	999	8.72	999	999	999
999	999	999	999	999	8.755	999	999	999
999	999	999	999	999	8.774	999	999	999
999	999	999	999	999	8.797	999	999	999
999	999	999	999	999	8.836	999	999	999
999	999	999	999	999	8.869	999	999	999
999	999	999	999	999	8.924	999	999	999
999	999	999	999	999	9.008	999	999	999
999	999	999	999	999	9.028	999	999	999
999	999	999	999	999	9.056	999	999	999
999	999	999	999	999	9.118	999	999	999
999	999	999	999	999	9.17	999	999	999
999	999	999	999	999	9.181	999	999	999
999	999	999	999	999	9.222	999	999	999
999	999	999	999	999	9.226	999	999	999
999	999	999	999	999	9.286	999	999	999
999	999	999	999	999	9.299	999	999	999
999	999	999	999	999	9.306	999	999	999
999	999	999	999	999	9.349	999	999	999
999	999	999	999	999	9.351	999	999	999
999	999	999	999	999	9.359	999	999	999
999	999	999	999	999	9.383	999	999	999
999	999	999	999	999	9.412	999	999	999
999	999	999	999	999	9.463	999	999	999
999	999	999	999	999	9.478	999	999	999
999	999	999	999	999	9.518	999	999	999
999	999	999	999	999	9.52	999	999	999
999	999	999	999	999	9.582	999	999	999
999	999	999	999	999	9.583	999	999	999
999	999	999	999	999	9.697	999	999	999
999	999	999	999	999	9.715	999	999	999
999	999	999	999	999	9.807	999	999	999
999	999	999	999	999	9.867	999	999	999
999	999	999	999	999	9.899	999	999	999
999	999	999	999	999	9.931	999	999	999
999	999	999	999	999	10.054	999	999	999
999	999	999	999	999	10.119	999	999	999
999	999	999	999	999	10.171	999	999	999
999	999	999	999	999	10.175	999	999	999
999	999	999	999	999	10.189	999	999	999
999	999	999	999	999	10.244	999	999	999
999	999	999	999	999	10.292	999	999	999
999	999	999	999	999	10.518	999	999	999
999	999	999	999	999	10.528	999	999	999
999	999	999	999	999	10.539	999	999	999
999	999	999	999	999	10.619	999	999	999
999	999	999	999	999	10.624	999	999	999
999	999	999	999	999	10.672	999	999	999
999	999	999	999	999	10.678	999	999	999
999	999	999	999	999	10.687	999	999	999
999	999	999	999	999	10.73	999	999	999
999	999	999	999	999	10.99	999	999	999
999	999	999	999	999	11	999	999	999
999	999	999	999	999	11.02	999	999	999
999	999	999	999	999	11.22	999	999	999
999	999	999	999	999	11.315	999	999	999
999	999	999	999	999	11.327	999	999	999
999	999	999	999	999	11.393	999	999	999
999	999	999	999	999	11.401	999	999	999
999	999	999	999	999	11.41	999	999	999
999	999	999	999	999	11.436	999	999	999
999	999	999	999	999	11.478	999	999	999
999	999	999	999	999	11.506	999	999	999
999	999	999	999	999	11.609	999	999	999
999	999	999	999	999	11.737	999	999	999
999	999	999	999	999	11.774	999	999	999
999	999	999	999	999	11.849	999	999	999
999	999	999	999	999	11.893	999	999	999
999	999	999	999	999	11.934	999	999	999
999	999	999	999	999	11.945	999	999	999
999	999	999	999	999	11.946	999	999	999
999	999	999	999	999	11.959	999	999	999
999	999	999	999	999	11.986	999	999	999
999	999	999	999	999	12.12	999	999	999
999	999	999	999	999	12.286	999	999	999
999	999	999	999	999	12.371	999	999	999
999	999	999	999	999	12.451	999	999	999
999	999	999	999	999	12.478	999	999	999
999	999	999	999	999	12.493	999	999	999
999	999	999	999	999	12.735	999	999	999
999	999	999	999	999	12.843	999	999	999
999	999	999	999	999	12.917	999	999	999
999	999	999	999	999	13.057	999	999	999
999	999	999	999	999	13.172	999	999	999
999	999	999	999	999	13.493	999	999	999
999	999	999	999	999	13.507	999	999	999
999	999	999	999	999	13.565	999	999	999
999	999	999	999	999	13.682	999	999	999
999	999	999	999	999	13.894	999	999	999
999	999	999	999	999	13.926	999	999	999
999	999	999	999	999	13.98	999	999	999
999	999	999	999	999	14.042	999	999	999
999	999	999	999	999	14.091	999	999	999
999	999	999	999	999	14.092	999	999	999
999	999	999	999	999	14.133	999	999	999
999	999	999	999	999	14.134	999	999	999
999	999	999	999	999	14.244	999	999	999
999	999	999	999	999	14.683	999	999	999
999	999	999	999	999	14.697	999	999	999
999	999	999	999	999	14.882	999	999	999
999	999	999	999	999	15.135	999	999	999
999	999	999	999	999	15.385	999	999	999
999	999	999	999	999	15.487	999	999	999
999	999	999	999	999	15.586	999	999	999
999	999	999	999	999	15.855	999	999	999
999	999	999	999	999	15.987	999	999	999
999	999	999	999	999	16.016	999	999	999
999	999	999	999	999	16.065	999	999	999
999	999	999	999	999	16.34	999	999	999
999	999	999	999	999	16.578	999	999	999
999	999	999	999	999	16.737	999	999	999
999	999	999	999	999	17.035	999	999	999
999	999	999	999	999	17.423	999	999	999
999	999	999	999	999	17.787	999	999	999
999	999	999	999	999	17.794	999	999	999
999	999	999	999	999	17.802	999	999	999
999	999	999	999	999	18.044	999	999	999
999	999	999	999	999	18.662	999	999	999
999	999	999	999	999	18.768	999	999	999
999	999	999	999	999	18.898	999	999	999
999	999	999	999	999	19.928	999	999	999
999	999	999	999	999	19.995	999	999	999
999	999	999	999	999	20.975	999	999	999
999	999	999	999	999	22.075	999	999	999
999	999	999	999	999	24.307	999	999	999
999	999	999	999	999	25.316	999	999	999
999	999	999	999	999	26.849	999	999	999
999	999	999	999	999	27.696	999	999	999
999	999	999	999	999	28.56	999	999	999
999	999	999	999	999	28.644	999	999	999
999	999	999	999	999	32.962	999	999	999
999	999	999	999	999	36.959	999	999	999
