wavelength  flux    unc
4752.261791188114	0.0	0.0
4753.778054559346	3.5339195245852784e-19	2.1232239930209982e-38
4755.294317930578	3.1744243397081477e-19	1.930374227669807e-38
4756.810581301809	3.8597842345221873e-19	1.9006839169986033e-38
4758.326844673041	9.133809916689403e-20	1.7809837908867934e-38
4759.843108044272	2.647146304360708e-19	1.855716774904249e-38
4761.359371415504	2.3114025915342922e-19	1.7847479151557744e-38
4762.875634786736	2.76364107294414e-19	1.8355385161862636e-38
4764.391898157967	3.4690591678562076e-19	1.888884356589175e-38
4765.908161529199	2.3341221106683924e-19	1.7907106569247918e-38
4767.4244249004305	2.610839246131615e-19	1.786040677117276e-38
4768.940688271662	3.022641962868527e-19	1.8407496400837475e-38
4770.456951642894	2.81747614127881e-19	1.7808657591846743e-38
4771.973215014125	3.230551020205722e-19	1.7709575504347673e-38
4773.489478385357	2.895891770292032e-19	1.7593708571680878e-38
4775.005741756589	3.92476499003519e-19	1.8270903987912296e-38
4776.52200512782	2.562802921836456e-19	1.7672664056824558e-38
4778.038268499052	7.912764966444694e-20	1.6552051100425187e-38
4779.554531870283	1.8872606908855544e-19	1.6838711262975917e-38
4781.070795241515	3.4073001210462405e-19	1.764310905182733e-38
4782.587058612747	4.97624468327881e-19	1.8856096081086401e-38
4784.103321983979	3.3322668171860064e-19	1.7705258019935402e-38
4785.619585355211	1.670272076691044e-19	1.6755129408172477e-38
4787.135848726442	3.44911878111839e-19	1.7935414112149563e-38
4788.652112097674	3.2547332785067884e-19	1.7525584021728533e-38
4790.168375468906	4.358906364864302e-19	1.8059229293494588e-38
4791.684638840137	3.22885509689438e-19	1.7846613072880314e-38
4793.200902211369	2.320636921713391e-19	1.731591436454852e-38
4794.7171655826005	2.1800432322720723e-19	1.7008692469876556e-38
4796.233428953832	2.9464439372343477e-19	1.7325576459010693e-38
4797.749692325064	3.4346134433262533e-19	1.7780717699612854e-38
4799.265955696295	2.9021580790947495e-19	1.729848981435359e-38
4800.782219067527	4.2371746280078204e-19	1.7585198289612e-38
4802.298482438759	3.0938111745631666e-19	1.6748998797475065e-38
4803.81474580999	2.694495766577905e-19	1.6372681195589608e-38
4805.331009181222	3.9126512795149565e-19	1.7577668687482755e-38
4806.847272552453	1.4595866348001397e-19	1.61240422050808e-38
4808.363535923685	2.3437498139669633e-19	1.616716633274788e-38
4809.879799294917	1.3675662318862079e-19	1.5275569314686334e-38
