# Graph from Soderberg2009Fig4, page 1
0.03852	2.520E46	0.00000	0.00000
0.05286	1.548E47	0.00000	0.00000
0.07092	1.893E47	0.00000	0.00000
0.08122	9.040E46	0.00000	0.00000
0.08692	3.243E47	0.00000	0.00000
0.08692	2.025E47	0.00000	0.00000
0.09732	4.693E45	0.00000	0.00000
0.09954	7.389E46	0.00000	0.00000
0.1114	3.967E47	0.00000	0.00000
0.1114	5.552E47	0.00000	0.00000
0.1140	5.105E48	0.00000	0.00000
0.1220	4.463E48	0.00000	0.00000
0.1247	4.936E46	0.00000	0.00000
0.1751	4.854E47	0.00000	0.00000
0.1961	5.369E45	0.00000	0.00000
0.2006	1.447E47	0.00000	0.00000
0.5674	1.223E49	0.00000	0.00000
0.9984	3.353E49	0.00000	0.00000
1.117	1.712E49	0.00000	0.00000
1.196	1.330E48	0.00000	0.00000
1.756	4.034E50	0.00000	0.00000
2.058	3.083E50	0.00000	0.00000
2.105	1.800E50	0.00000	0.00000
2.153	9.833E49	0.00000	0.00000
2.410	1.034E51	0.00000	0.00000
2.639	1.893E51	0.00000	0.00000
2.639	3.243E51	0.00000	0.00000
2.888	6.909E50	0.00000	0.00000
2.954	5.279E50	0.00000	0.00000
3.162	1.471E50	0.00000	0.00000
3.308	2.650E51	0.00000	0.00000
3.789	4.315E50	0.00000	0.00000
4.147	2.695E50	0.00000	0.00000
4.540	1.926E50	0.00000	0.00000
5.439	1.471E50	0.00000	0.00000
5.821	3.468E51	0.00000	0.00000
59.72	5.840E48	0.00000	0.00000
1583	2.787E48	0.00000	0.00000
12660	1.051E46	0.00000	0.00000
65970	3.410E48	0.00000	0.00000

