wavelength flux err
3.999000000000000000e+03 5.248019045520950776e-01 1.895502316156815956e-02
4.000000000000000000e+03 5.190498938419207953e-01 1.894795238391280140e-02
4.001000000000000000e+03 5.203782496570875660e-01 1.913087866976924054e-02
4.002000000000000000e+03 5.422676119205447343e-01 1.956984452263752991e-02
4.003000000000000000e+03 5.417850377825382813e-01 1.909532930531966308e-02
4.004000000000000000e+03 5.293508069407983907e-01 1.911410473683822914e-02
4.005000000000000000e+03 5.565863693981798477e-01 1.906062193747802905e-02
4.006000000000000000e+03 5.392584362934438325e-01 1.920670512174967384e-02
4.007000000000000000e+03 5.321826852213175085e-01 1.940286960335773844e-02
4.008000000000000000e+03 5.304951787251223072e-01 1.932713968209580704e-02
4.009000000000000000e+03 5.477758209359132602e-01 1.944010040674700596e-02
4.010000000000000000e+03 5.570467613904189763e-01 1.942091092680316503e-02
4.011000000000000000e+03 5.391169032584611776e-01 1.939146451382742567e-02
4.012000000000000000e+03 5.400605763449630725e-01 1.956595009368769511e-02
4.013000000000000000e+03 5.469508303747029343e-01 1.956827886798285371e-02
4.014000000000000000e+03 5.525904764598124075e-01 1.940236282414342650e-02
4.015000000000000000e+03 5.430968984606082683e-01 1.937550860287743509e-02
4.016000000000000000e+03 5.414693866102276987e-01 1.947843863234166931e-02
4.017000000000000000e+03 5.602190758334638643e-01 1.967213968019989115e-02
4.018000000000000000e+03 5.805336997390950771e-01 1.990883401799932451e-02
4.019000000000000000e+03 5.886052827348980943e-01 1.960056511480941580e-02
4.020000000000000000e+03 5.582247455694193672e-01 1.936420333276325442e-02
4.021000000000000000e+03 5.564806126211757631e-01 1.963259363066956892e-02
4.022000000000000000e+03 5.594707272860817149e-01 1.942432800467729787e-02
4.023000000000000000e+03 5.533672272556009464e-01 1.920053366157783645e-02
4.024000000000000000e+03 5.434644795474148360e-01 1.919817439578911170e-02
4.025000000000000000e+03 5.472554554731312582e-01 1.926075128317520854e-02
4.026000000000000000e+03 5.483955846106359777e-01 1.935360269755144122e-02
4.027000000000000000e+03 5.639583107900135728e-01 1.941992970112949371e-02
4.028000000000000000e+03 5.576595947767869488e-01 1.893029490049841224e-02
4.029000000000000000e+03 5.291161784337956586e-01 1.916313741205235427e-02
4.030000000000000000e+03 5.488326466260726733e-01 1.914112645655063200e-02
4.031000000000000000e+03 5.431631933845697535e-01 1.890184360967064187e-02
4.032000000000000000e+03 5.338731872349112839e-01 1.879403406977937438e-02
4.033000000000000000e+03 5.468227244547531063e-01 1.890216537591364598e-02
4.034000000000000000e+03 5.595365467223695211e-01 1.885520189602531843e-02
4.035000000000000000e+03 5.417678262915278653e-01 1.873953855679612659e-02
4.036000000000000000e+03 5.178161294104879353e-01 1.893842506406611878e-02
4.037000000000000000e+03 5.257016634591471504e-01 1.897492081430818961e-02
4.038000000000000000e+03 5.193794240010923824e-01 1.921240634225850757e-02
4.039000000000000000e+03 5.423551863634546999e-01 1.927123054714459383e-02
4.040000000000000000e+03 5.525969144470692651e-01 1.904293973902192877e-02
4.041000000000000000e+03 5.182892396168542470e-01 1.899446803428192498e-02
4.042000000000000000e+03 5.125580893550475414e-01 1.919349612554479417e-02
4.043000000000000000e+03 5.138702428078958384e-01 1.913272502308852735e-02
4.044000000000000000e+03 5.350615522491075637e-01 1.925438461458203049e-02
4.045000000000000000e+03 5.472582933953658024e-01 1.935405864223979644e-02
4.046000000000000000e+03 5.799681691708300502e-01 1.944895149933959302e-02
4.047000000000000000e+03 5.891486374528609460e-01 1.912334839127584687e-02
4.048000000000000000e+03 5.495920119025430317e-01 1.908844267377835316e-02
4.049000000000000000e+03 5.305926282056214749e-01 1.940185237492055709e-02
4.050000000000000000e+03 5.434946116643438740e-01 1.943829263060026236e-02
4.051000000000000000e+03 5.426638963245016267e-01 1.919366658932999264e-02
4.052000000000000000e+03 5.490703276531228028e-01 1.917956845427522955e-02
4.053000000000000000e+03 5.646134313479013178e-01 1.910669319659128243e-02
4.054000000000000000e+03 5.419879464296414318e-01 1.893190523818857190e-02
4.055000000000000000e+03 5.179999388196282473e-01 1.869328898971395897e-02
4.056000000000000000e+03 5.242173406654508927e-01 1.891239659714405788e-02
4.057000000000000000e+03 5.512641232025196070e-01 1.904608352038115321e-02
4.058000000000000000e+03 5.522028259831983643e-01 1.890621363226951610e-02
4.059000000000000000e+03 5.314062689579460708e-01 1.895763122839529483e-02
4.060000000000000000e+03 5.539056448342275507e-01 1.912034506832265349e-02
4.061000000000000000e+03 5.656166557486582702e-01 1.916315555119601013e-02
4.062000000000000000e+03 5.517605801840079760e-01 1.905987035908930302e-02
