,MJD_Start,MJD_Mid,MJD_End,ObsID,Rate,RatePos,RateNeg,Flux,FluxPos,FluxNeg
0,60523.35005963194,60523.49054649537,60523.6310333588,00016748001,0.01278387,0.001993897,-0.001993897,5.01127704e-13,7.81607624e-14,-7.81607624e-14
1,60524.46718413426,60524.53692333565,60524.60666253704,00016748002,0.009506884,0.0023143,-0.0023143,3.726698528e-13,9.072055999999999e-14,-9.072055999999999e-14
2,60526.12798311574,60526.1897395162,60526.251495916666,00016748004,0.007057066,0.004547761,-0.003235434,2.7663698719999996e-13,1.7827223119999998e-13,-1.268290128e-13
3,60529.54410996759,60529.54434212037,60529.544574273146,00016748007,0.06280787,0.05996618,-0.03668367,2.462068504e-12,2.350674256e-12,-1.437999864e-12
4,60531.898450569446,60531.907214516206,60531.91597846296,00016763001,0.005203452,0.00305771,-0.002258431,2.039753184e-13,1.1986223199999998e-13,-8.853049519999999e-14
5,60532.153050175926,60532.515550488424,60532.87805080092,00016748009,0.004287424,0.002500839,-0.001845473,1.680670208e-13,9.80328888e-14,-7.23425416e-14
6,60535.043445766205,60535.276376078706,60535.509306391206,00016748010,0.006561693,0.003930445,-0.002903034,2.572183656e-13,1.54073444e-13,-1.137989328e-13
