,MJD_Start,MJD_Mid,MJD_End,ObsID,UpperLimit,UpperLimit_Flux
0,60525.385663787034,60525.423651206016,60525.461638625,00016748003,0.012449,4.880008e-13
1,60526.97748567361,60527.2444345625,60527.51138345139,00016748005,0.007885,3.09092e-13
2,60528.215003590274,60528.21909536111,60528.223187131945,00016748006,0.021166,8.297072e-13
3,60531.446735418984,60531.44815738657,60531.449579354165,00016748008,0.058611,2.2975512e-12
4,60648.173015037035,60648.310947687496,60648.448880337965,00016748011,0.0022929,8.988167999999999e-14
