wavelength flux fluxe
3520.0901 -4.814025e+00 9.227785e+01
3521.7770 1.405465e+02 9.181875e+01
3523.4639 1.206111e+00 8.988946e+01
3525.1507 7.904609e+01 8.794229e+01
3526.8376 1.075006e+02 8.778069e+01
3528.5245 3.057167e+01 8.529876e+01
3530.2114 -3.353955e+01 8.418760e+01
3531.8983 -1.026575e+02 8.170885e+01
3533.5852 -2.522251e+01 8.251920e+01
3535.2721 6.175842e+00 8.092127e+01
3536.9590 -1.968622e+01 6.013781e+01
3538.6459 3.927669e+01 7.480353e+01
3540.3328 1.434555e+02 8.089196e+01
3542.0197 -2.112342e+01 7.682574e+01
3543.7065 4.503946e+00 7.949513e+01
3545.3934 1.056894e+02 7.930833e+01
3547.0803 -6.128887e+01 7.720290e+01
3548.7672 2.631364e+01 7.892358e+01
3550.4541   nan   nan
3552.1410   nan   nan
3553.8279   nan   nan
3555.5148   nan   nan
3557.2017   nan   nan
3558.8886   nan   nan
3560.5755 2.732365e+01 6.556299e+01
3562.2623 -2.382189e+01 6.357078e+01
3563.9492 -2.135866e+01 4.870257e+01
3565.6361 6.838670e+01 5.839558e+01
3567.3230 9.050964e+01 6.233826e+01
3569.0099 -5.837615e+01 5.973370e+01
3570.6968 -2.261413e+01 6.244089e+01
3572.3837 3.225175e+01 6.104209e+01
3574.0706 1.799570e+01 5.869947e+01
3575.7575 1.250650e+01 5.683221e+01
3577.4444 3.062291e+01 5.760073e+01
3579.1313 7.762864e+01 5.559365e+01
3580.8182 3.330759e+01 5.512631e+01
3582.5050 3.447249e+01 5.430243e+01
3584.1919 3.432125e+01 5.436127e+01
3585.8788 4.006457e+01 5.275001e+01
3587.5657 7.165554e+01 5.315709e+01
3589.2526 6.922464e+01 5.119286e+01
3590.9395 -1.431183e+00 5.088349e+01
3592.6264 6.582464e-01 4.147347e+01
3594.3133 3.452962e+01 4.165047e+01
3596.0002 9.588059e+01 4.954203e+01
3597.6871 -2.363257e+01 4.819574e+01
3599.3740 4.358300e-01 4.682190e+01
3601.0608 4.408488e+01 4.732434e+01
3602.7477 6.626625e+01 4.659314e+01
3604.4346 -3.696465e+01 4.489286e+01
3606.1215 1.296109e+01 4.437621e+01
3607.8084 4.563982e+01 4.500891e+01
3609.4953 -5.117446e+00 2.886457e+01
3611.1822 2.515160e+01 2.914056e+01
3612.8691 2.125237e+01 2.848392e+01
3614.5560 -6.602550e+01 2.770280e+01
3616.2429 -1.502025e+00 2.765012e+01
3617.9298 1.841284e+01 2.770796e+01
3619.6166 -4.954735e+00 2.731623e+01
3621.3035 1.272709e+01 2.606100e+01
3622.9904 -1.082827e+01 2.311005e+01
3624.6773 5.479807e+01 2.355934e+01
3626.3642 -1.968014e+01 2.549454e+01
3628.0511 2.393804e+01 2.606473e+01
3629.7380 -4.625975e+00 2.532084e+01
3631.4249 -3.053053e+00 2.502812e+01
3633.1118 -4.747311e+00 2.462383e+01
3634.7987 2.640791e+01 2.454562e+01
3636.4856 -1.373104e+01 2.384415e+01
3638.1725 2.494060e+01 2.386615e+01
3639.8593 3.980700e+00 2.338853e+01
3641.5462 -4.796855e+01 2.285765e+01
3643.2331 -4.251407e+00 2.259324e+01
3644.9200 -5.555766e+00 2.251870e+01
3646.6069 -5.488023e+00 2.237584e+01
3648.2938 9.359086e+00 2.183086e+01
3649.9807 -8.649047e+00 2.156239e+01
3651.6676 5.690061e+00 2.155689e+01
3653.3545 1.477201e+01 1.846332e+01
3655.0414 -1.546711e+01 2.054870e+01
3656.7283 1.621327e+01 2.080888e+01
3658.4151 -2.686649e+01 1.799315e+01
3660.1020 -1.093915e+00 2.009033e+01
3661.7889 1.201342e+01 2.003941e+01
3663.4758 1.811691e+01 1.994579e+01
3665.1627 4.552613e+00 1.957084e+01
3666.8496 -1.838985e+01 1.900281e+01
3668.5365 -1.939422e+01 1.858889e+01
3670.2234 7.070215e+00 1.871792e+01
3671.9103 -4.742077e+00 1.831468e+01
3673.5972 -4.596226e+00 1.802109e+01
3675.2841 -2.551707e+01 1.766621e+01
3676.9709 -2.589693e+01 1.742586e+01
3678.6578 -1.125886e+01 1.727501e+01
3680.3447 1.610647e+01 1.754788e+01
3682.0316 7.551011e+00 1.705527e+01
3683.7185 3.882553e+00 1.686980e+01
3685.4054 -1.914568e+01 1.419923e+01
3687.0923 1.602694e+01 1.654122e+01
3688.7792 -2.853049e+00 1.625344e+01
3690.4661 1.205212e+00 1.611857e+01
3692.1530 9.568531e+00 1.579904e+01
3693.8399 -1.120407e+01 1.372595e+01
3695.5267 2.253609e+01 1.565772e+01
3697.2136 1.236167e+01 1.530194e+01
3698.9005 -1.801744e+00 1.508122e+01
3700.5874 1.312354e+01 1.515143e+01
3702.2743 -6.095862e-01 1.483718e+01
3703.9612 5.822828e+00 1.469641e+01
3705.6481 1.394349e+01 1.458087e+01
3707.3350 1.681050e+00 1.426821e+01
3709.0219 2.149241e+00 1.401030e+01
3710.7088 1.098383e+01 1.408184e+01
3712.3957 8.500747e+00 1.380630e+01
3714.0826 -2.918178e+00 1.352976e+01
3715.7694 -1.011505e+01 1.320059e+01
3717.4563 2.382094e+01 1.317887e+01
3719.1432 2.103336e+01 1.157863e+01
3720.8301 1.144586e+01 1.310371e+01
3722.5170 3.212157e+01 1.297606e+01
3724.2039 5.158413e+00 1.276284e+01
3725.8908 -1.068795e+01 1.218496e+01
3727.5777 -4.187560e+00 1.231358e+01
3729.2646 -2.424760e+00 1.088175e+01
3730.9515 2.634319e+00 1.213244e+01
3732.6384 -8.523992e+00 1.181682e+01
3734.3252 1.520763e+01 1.190349e+01
3736.0121 7.792502e+00 1.171745e+01
3737.6990 1.150138e+01 1.168588e+01
3739.3859 -6.576351e+00 1.124148e+01
3741.0728 1.510863e+01 1.141914e+01
3742.7597 7.023852e+00 1.105172e+01
3744.4466 1.814698e+01 1.102573e+01
3746.1335 2.347107e+01 1.090021e+01
3747.8204 3.243707e+01 1.102582e+01
3749.5073 -1.233615e+01 1.026587e+01
3751.1942 -9.272802e+00 1.027360e+01
3752.8810 -4.270980e+00 8.785345e+00
3754.5679 5.827926e+00 1.014919e+01
3756.2548 -3.741416e+00 1.033982e+01
3757.9417 -1.141734e+01 9.739874e+00
3759.6286 1.376865e+01 9.692698e+00
