1.1315e+9, 1.1012e+28
1.2035e+9, 1.3070e+28
1.2690e+9, 1.5348e+28
1.3618e+9, 1.8611e+28
1.4743e+9, 2.3556e+28
1.6103e+9, 3.0787e+28
1.7433e+9, 3.8552e+28
1.9041e+9, 4.7252e+28
2.0982e+9, 6.1759e+28
2.3531e+9, 8.2467e+28
2.7339e+9, 1.1618e+29
3.1207e+9, 1.4704e+29
3.8908e+9, 1.9846e+29
5.0252e+9, 2.3056e+29
6.8430e+9, 2.2568e+29
9.3186e+9, 1.9635e+29
1.3262e+10, 1.5849e+29
1.7280e+10, 1.3497e+29
2.2122e+10, 1.1371e+29
2.9080e+10, 9.4786e+28
3.5622e+10, 8.3355e+28
4.2123e+10, 7.4889e+28
5.2983e+10, 6.3775e+28
6.6643e+10, 5.4895e+28
8.6836e+10, 4.5758e+28
1.1117e+11, 3.8967e+28
1.4107e+11, 3.3541e+28
1.6534e+11, 3.0135e+28
