object,t_obs,band,freq,frame,array,uJy,unc,obs
AT2024aehp,155,,102,observed,NOEMA,175,28,
AT2024aehp,149,,15.5,observed,AMI,639,0,
AT2023fhn,12,,1.52,observed,VLA,130,-130,chrimes
AT2023fhn,12,,3,observed,VLA,35,-35,chrimes
AT2023fhn,12,,6,observed,VLA,18,-15,chrimes
AT2023fhn,12,,10,observed,VLA,18,-18,chrimes
AT2023fhn,12,,15.08,observed,VLA,11,-11,chrimes
AT2023fhn,12,,22,observed,VLA,17,-17,chrimes
AT2023fhn,12,,33,observed,VLA,25,-25,chrimes
AT2023fhn,88,,1.52,observed,VLA,45,-45,chrimes
AT2023fhn,88,,3,observed,VLA,110,8,chrimes
AT2023fhn,88,,6,observed,VLA,128,5,chrimes
AT2023fhn,96,,10,observed,VLA,105,7,chrimes
AT2023fhn,96,,15,observed,VLA,71,7,chrimes
AT2023fhn,96,,22,observed,VLA,60,10,chrimes
AT2023fhn,137,,1.52,observed,VLA,58,-58,chrimes
AT2023fhn,137,,3,observed,VLA,110,10,chrimes
AT2023fhn,137,,6,observed,VLA,221,5,chrimes
AT2023fhn,138,,10,observed,VLA,197,6,chrimes
AT2023fhn,138,,13,observed,VLA,180,10,chrimes
AT2023fhn,138,,15,observed,VLA,160,10,chrimes
AT2023fhn,138,,16.96,observed,VLA,140,20,chrimes
AT2023fhn,250,,6,observed,VLA,311,-311,chrimes
AT2023fhn,250,,10,observed,VLA,181,-181,chrimes
AT2023fhn,250,,15.08,observed,VLA,125,-125,chrimes
