Host           band    mag     magerr   system      extinction      source      ref
ASAS-SN14dq       g     16.02  0.04  std no  PS1                               (4)   
ASAS-SN14dq       r     15.70  0.04  std no  PS1                               (4) 
ASAS-SN14dq       i     15.63  0.05  std no  PS1                               (4) 
ASAS-SN14dq       z     15.60  0.10  std no  PS1                               (4) 
ASAS-SN14dq       y     15.69  0.25  std no  PS1                               (4) 
ASAS-SN14fj       NUV   15.92  0.02  std no  GALEX                             (3) 
ASAS-SN14fj       u     15.11  0.03  std no  SDSS                              (1)  
ASAS-SN14fj       g     14.00  0.01  std no  SDSS                              (1)  
ASAS-SN14fj       r     13.53  0.01  std no  SDSS                              (1)  
ASAS-SN14fj       i     13.25  0.01  std no  SDSS                              (1)  
ASAS-SN14fj       z     13.14  0.01  std no  SDSS                              (1)  
ASAS-SN14fj       J     12.02  0.03  std no  2MASS                             (2) 
ASAS-SN14fj       H     11.41  0.05  std no  2MASS                             (2) 
ASAS-SN14fj       Ks    11.22  0.08  std no  2MASS                             (2) 
ASAS-SN14gm       FUV   15.19  0.01  std no  GALEX                             (1)  
ASAS-SN14gm       NUV   14.46  0.01  std no  GALEX                             (1)  
ASAS-SN14gm       u     13.23  0.01  std no  SDSS                              (1)  
ASAS-SN14gm       g     12.19  0.01  std no  SDSS                              (1)  
ASAS-SN14gm       r     11.73  0.01  std no  SDSS                              (1)  
ASAS-SN14gm       i     11.54  0.01  std no  SDSS                              (1)  
ASAS-SN14gm       z     11.38  0.01  std no  SDSS                              (1)  
ASAS-SN14gm       J     10.16  0.02  std no  2MASS                             (2) 
ASAS-SN14gm       H     9.56   0.02  std no  2MASS                             (2) 
ASAS-SN14gm       Ks    9.28   0.02  std no  2MASS                             (2)   
ASAS-SN14il       NUV   17.13  0.02  std no  GALEX                             (3) 
ASAS-SN14il       g     15.31  0.01  std no  PS1                               (4) 
ASAS-SN14il       r     14.88  0.01  std no  PS1                               (4) 
ASAS-SN14il       i     14.69  0.01  std no  PS1                               (4) 
ASAS-SN14il       z     14.56  0.01  std no  PS1                               (4) 
ASAS-SN14il       y     14.28  0.03  std no  PS1                               (4) 
ASAS-SN14il       J     13.32  0.05  std no  2MASS                             (5)  
ASAS-SN14il       H     12.86  0.08  std no  2MASS                             (5) 
ASAS-SN14il       Ks    12.57  0.10  std no  2MASS                             (5)
ASAS-SN14jb       NUV   15.88  0.01  std no  GALEX                             (3) 
ASAS-SN14jb       g     14.56  0.01  std no  PS1                               (4) 
ASAS-SN14jb       r     14.24  0.01  std no  PS1                               (4) 
ASAS-SN14jb       i     14.12  0.01  std no  PS1                               (4) 
ASAS-SN14jb       z     14.06  0.01  std no  PS1                               (4) 
ASAS-SN14jb       y     14.00  0.02  std no  PS1                               (4)
ASAS-SN14jb       H     12.68  0.14  std no  2MASS                             (2) 
ASAS-SN14jh       FUV   18.58  0.47  std no  GALEX                             (1) 
ASAS-SN14jh       NUV   17.91  0.10  std no  GALEX                             (1)  
ASAS-SN14jh       u     16.93  0.06  std no  PS1                               (1)  
ASAS-SN14jh       g     15.99  0.03  std no  PS1                               (1)  
ASAS-SN14jh       r     15.56  0.01  std no  PS1                               (1)  
ASAS-SN14jh       i     15.40  0.03  std no  PS1                               (1)  
ASAS-SN14jh       z     15.35  0.07  std no  PS1                               (1)  
ASAS-SN14jh       J     14.18  0.03  std no  2MASS                             (2) 
ASAS-SN14jh       H     13.27  0.05  std no  2MASS                             (2) 
ASAS-SN14jh       Ks    12.97  0.07  std no  2MASS                             (2)  
ASAS-SN14kg       NUV   18.31  0.06  std no  GALEX                             (3) 
ASAS-SN14kg       g     15.20  0.01  std no  PS1                               (4) 
ASAS-SN14kg       r     14.58  0.01  std no  PS1                               (4) 
ASAS-SN14kg       i     14.23  0.01  std no  PS1                               (4) 
