Host           band    mag     magerr   system      extinction      source      ref
SLSN-I_PTF10cwr   J     22.92  0.01  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10cwr   H     22.20  0.31  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10cwr   Ks    21.17  0.31  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10cwr   3.6   23.50  0.17  std no  Spitzer/IRAC                      (1)
SLSN-I_PTF10hgi   u     23.73  0.20  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   B     23.15  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   g     22.56  0.06  AB  yes Magellan/IMACS                    (9)
SLSN-I_PTF10hgi   g     22.69  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   R     21.82  0.19  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   r     22.05  0.06  AB  no  WHT/ACAM                          (10) 
SLSN-I_PTF10hgi   i     21.75  0.06  AB  yes Magellan/IMACS                    (9)
SLSN-I_PTF10hgi   i     21.96  0.03  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   z     21.93  0.18  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10hgi   J     21.48  0.08  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10hgi   Ks    21.66  0.13  AB  yes Magellan/FourStar                 (9)
SLSN-I_PTF10hgi   3.6   21.75  0.03  AB  no  Spitzer/IRAC                      (1)                
SLSN-I_PTF10hgi   H     21.66  0.32  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF10hgi   Js    21.97  0.06  AB  no  VLT/ISAAC                         (4)
SLSN-I_PTF10hgi   Ks    21.74  0.17  AB  no  VLT/ISAAC                         (4)
SLSN-I_PTF10nmn   u     22.93  0.05  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10nmn   g     22.17  0.06  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10nmn   F625W 21.49  0.18  AB  no  HST/WFC3                          (1)
SLSN-I_PTF10nmn   R     21.51  0.04  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10nmn   z     21.46  0.09  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10nmn   J     20.48  0.11  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10nmn   H     19.79  0.20  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10nmn   Ks    19.52  0.12  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10uhf   u     20.33  0.22  std no  SDSS                              (1)
SLSN-I_PTF10uhf   B     20.13  0.10  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF10uhf   g     19.24  0.05  std no  SDSS                              (1)
SLSN-I_PTF10uhf   V     18.88  0.01  std no  KeckI/LRIS                        (1)
SLSN-I_PTF10uhf   r     18.47  0.03  std no  SDSS                              (1)
SLSN-I_PTF10uhf   R     18.23  0.11  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF10uhf   i     18.08  0.02  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF10uhf   z     17.72  0.10  std no  SDSS                              (1)
SLSN-I_PTF10uhf   J     16.52  0.06  std no  P200/WIRC                         (1) 
SLSN-I_PTF10uhf   H     15.66  0.06  std no  P200/WIRC                         (1)
SLSN-I_PTF10uhf   Ks    15.06  0.04  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF10uhf   W1    14.93  0.03  std no  WISE                              (2)
SLSN-I_PTF10uhf   W2    14.47  0.04  std no  WISE                              (2) 
SLSN-I_PTF10vwg   J     22.92 0.34   std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF11dij   F336W 23.12  0.03  AB  no  HST/WFC3                          (10)
SLSN-I_PTF11dij   U     22.94  0.08  AB  no  VLT/FORS2                         (4)
SLSN-I_PTF11dij   B     23.05  0.14  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11dij   g     22.82  0.08  std no  KeckI/LRIS                        (1)
SLSN-I_PTF11dij   g     22.49  0.03  AB  no  VLT/FORS2                         (4)
SLSN-I_PTF11dij   R     22.51  0.14  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11dij   R     22.43  0.04  AB  no  VLT/FORS2                         (4)
SLSN-I_PTF11dij   i     22.56  0.02  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11dij   I     22.24  0.06  AB  no  VLT/FORS2                         (4)
SLSN-I_PTF11dij   z     23.42  0.10  std no  KeckI/LRIS                        (1)  
SLSN-I_PTF11dij   zGunn 22.66  0.19  AB  no  VLT/FORS2                         (4)
SLSN-I_PTF11dij   J     22.27  0.17  std no  KeckI/MOSFIRE                     (1) 
SLSN-I_PTF11dij   F160W 23.21  0.14  AB  no  HST/WFC3                          (10)
SLSN-I_PTF11dij   Ks    21.19  0.22  std no  KeckI/MOSFIRE                     (1)
SLSN-I_PTF11dij   Ks    22.19  0.27  AB  no  VLT/HAWK-I                        (4)
SLSN-I_PTF11dij   3.6   23.30  0.22  AB  no  Spitzer/IRAC                      (1)
SLSN-I_PTF11hrq   F225W 20.98  0.27  AB  no  HST/WFC3                          (1) 
SLSN-I_PTF11hrq   F336W 20.65  0.17  AB  no  HST/WFC3                          (1) 
SLSN-I_PTF11hrq   u     20.56  0.2   std no  KeckI/LRIS                        (1)
SLSN-I_PTF11hrq   B     20.22  0.1   std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11hrq   g     19.77  0.06  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11hrq   F625W 19.39  0.07  AB  no  HST/WFC3                          (1) 
SLSN-I_PTF11hrq   i     19.44  0.08  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11hrq   J     18.28  0.08  std no  P200/WIRC                         (1) 
SLSN-I_PTF11hrq   H     17.75  0.08  std no  P200/WIRC                         (1) 
SLSN-I_PTF11hrq   Ks    17.42  0.12  std no  P200/WIRC                         (1) 
SLSN-I_PTF11hrq   W1    17.23  0.14  std no  WISE                              (2)
SLSN-I_PTF11hrq   W2    16.78  0.33  std no  WISE                              (2)
SLSN-I_PTF11rks   u     21.89  0.06  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11rks   B     21.75  0.14  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11rks   g     21.17  0.05  std no  KeckI/LRIS                        (1)
SLSN-I_PTF11rks   R     20.51  0.07  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11rks   i     20.58  0.01  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11rks   z     20.44  0.04  std no  KeckI/LRIS                        (1) 
SLSN-I_PTF11rks   J     19.38  0.05  std no  KeckI/MOSFIRE                     (1) 
SLSN-I_PTF11rks   F160W 20.20  0.08  AB  no  HST/WFC3                          (1) 
SLSN-I_PTF11rks   3.6   20.75  0.04  AB  no  Spitzer/IRAC                      (1)
SLSN-I_PTF11rks   H     20.13  0.09  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF12dam   F225W 19.94  0.17  AB  no  HST/WFC3                          (1)
SLSN-I_PTF12dam   F336W 19.87  0.12  AB  no  HST/WFC3                          (1)
SLSN-I_PTF12dam   u     19.84  0.05  std no  SDSS                              (1)
SLSN-I_PTF12dam   g     19.39  0.02  std no  SDSS                              (1)
SLSN-I_PTF12dam   g     19.42  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF12dam   F625W 18.84  0.06  AB  no  HST/WFC3                          (1)
SLSN-I_PTF12dam   r     19.19  0.02  std no  SDSS                              (1)
SLSN-I_PTF12dam   R     19.20  0.02  std no  KeckI/LRIS                        (1)
SLSN-I_PTF12dam   i     18.82  0.02  std no  SDSS                              (1)
SLSN-I_PTF12dam   z     19.26  0.12  std no  SDSS                              (1)
SLSN-I_PTF12dam   3.6   19.23  0.03  AB  no  Spitzer/IRAC                      (1)
SLSN-I_PTF12dam   UVM2  20.19  0.14  AB  no  Swift/UVOT                        (4)
SLSN-I_PTF12dam   UVW1  19.83  0.13  AB  no  Swift/UVOT                        (4)
SLSN-I_PTF12dam   J     18.16  0.05  std no  P200/WIRC                         (1)
SLSN-I_PTF12dam   H     17.85  0.07  std no  P200/WIRC                         (1)
SLSN-I_PTF12dam   Ks    17.06  0.09  std no  P200/WIRC                         (1)
SLSN-I_PTF12dam   Y     19.27  0.06  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF12dam   J     19.20  0.06  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF12dam   H     19.33  0.09  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF12dam   Ks    19.33  0.32  AB  no  CAHA/Omega2000                    (4)
SLSN-I_PTF12dam   W1    16.82  0.10  std no  WISE                              (2)
SLSN-I_SN1999as   F336W 21.15  0.10  AB  no  HST/WFC3                          (10)
SLSN-I_SN1999as   u     21.58  0.30  AB  no  SDSS                              (1)
SLSN-I_SN1999as   g     20.13  0.04  AB  no  SDSS                              (1)
SLSN-I_SN1999as   r     19.63  0.04  AB  no  SDSS                              (1)
SLSN-I_SN1999as   i     19.46  0.05  AB  no  SDSS                              (1)
SLSN-I_SN1999as   z     19.34  0.15  AB  no  SDSS                              (1)
SLSN-I_SN1999as   F160W 19.19  0.03  AB  no  HST/WFC3                          (10)
SLSN-I_SN1999as   J     19.16  0.09  AB  no  CAHA/Omega2000                    (4)
SLSN-I_SN1999as   K     19.49  0.10  AB  no  CAHA/Omega2000                    (4)
SLSN-I_SN1999as   Ks    19.43  0.10  AB  no  Magellan/Fourstar                 (4)
SLSN-I_SN1999as   W1    20.32  0.21  AB  no  WISE                              (2)  
SLSN-I_SN2005ap   F390W 24.32  0.09  AB  no  HST/WFC3                          (10)         
SLSN-I_SN2005ap   B     24.43  0.24  AB  yes CFH12K                            (11)
SLSN-I_SN2005ap   V     23.94  0.24  AB  yes CCFH12K                           (11) 
SLSN-I_SN2005ap   R     23.88  0.24  AB  no  VLT                               (10)
SLSN-I_SN2005ap   R     23.43  0.01  AB  no  Subaru/Suprime-Cam                (4)
SLSN-I_SN2005ap   R     23.66  0.04  AB  yes CFH12K                            (11)
SLSN-I_SN2005ap   r     23.24  0.07  AB  no  WHT                               (10)
SLSN-I_SN2005ap   r     23.67  0.18  AB  no  NOT/ALFOSC                        (4) 
SLSN-I_SN2005ap   i     23.59  0.07  AB  yes MMT/MMTCam                        (9)
SLSN-I_SN2005ap   i     23.65  0.21  AB  no  NOT/ALFOSC                        (4)
SLSN-I_SN2005ap   I     23.51  0.07  AB  yes CFH12K                            (11)
SLSN-I_SN2005ap   F160W 23.48  0.36  AB  no  HST/WFC3                          (10) 
