Host           band    mag     magerr   system      extinction      source      ref
SLSN-II_PTF12mue  u     23.90  0.05  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12mue  g     23.14  0.13  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12mue  i     22.43  0.06  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12mue  z     22.35  0.10  std no  KeckI/LRIS                        (1) 
SLSN-II_PTF12mue  Ks    19.51  0.10  std no  KeckI/MOSFIRE                     (1) 
SLSN-II_SN1999bd  F336W 21.85  0.05  AB  no  HST/WFC3                          (10)
SLSN-II_SN1999bd  u     20.56  0.13  AB  no  SDSS                              (4)
SLSN-II_SN1999bd  V     20.21  0.07  AB  no  Subaru/Suprime-Cam                (4) 
SLSN-II_SN1999bd  g     20.52  0.05  AB  no  SDSS                              (4)
SLSN-II_SN1999bd  r     19.81  0.14  AB  no  SDSS                              (12) 
SLSN-II_SN1999bd  r     19.96  0.01  AB  no  Magellan/IMACS                    (4)
SLSN-II_SN1999bd  F160W 18.77  0.01  AB  no  HST/WFC3                          (10) 
SLSN-II_SN1999bd  i     19.42  0.03  AB  no  SDSS                              (4)
SLSN-II_SN1999bd  z     19.19  0.10  AB  no  SDSS                              (4)
SLSN-II_SN1999bd  J     18.88  0.02  AB  no  CAHA/Omega2000                    (4)
SLSN-II_SN1999bd  UVW1  22.06  0.22  AB  no  Swift/UVOT                        (4)
SLSN-II_SN1999bd  W1    16.34  0.09  std no  WISE                              (2)
SLSN-II_SN1999bd  W2    16.24  0.28  std no  WISE                              (2)
SLSN-II_SN2003ma  B     20.84  0.06  AB  no  Blanco/MOSAIC                     (5)
SLSN-II_SN2003ma  I     20.21  0.03  AB  no  Blanco/MOSAIC                     (5)
SLSN-II_SN2003ma  J     19.78  0.11  AB  no  IRSF/SIRIUS                       (6)
SLSN-II_SN2003ma  H     19.86  0.16  AB  no  IRSF/SIRIUS                       (6)
SLSN-II_SN2006gy  F275W 19.855 0.012 AB  no  HST/WFC3                          (10)     
SLSN-II_SN2006gy  u     16.541 0.006 std no  SDSS                              (10) 
SLSN-II_SN2006gy  F390W 15.807 0.015 std no  HST/WFC3                          (10) 
SLSN-II_SN2006gy  g     14.221 0.001 std no  SDSS                              (10) 
SLSN-II_SN2006gy  r     13.207 0.001 std no  SDSS                              (10) 
SLSN-II_SN2006gy  i     12.698 0.001 std no  SDSS                              (10) 
SLSN-II_SN2006gy  z     12.54060.009 std no  SDSS                              (10) 
SLSN-II_SN2006gy  H     10.248 0.001 std no  2MASS                             (10) 
SLSN-II_SN2006gy  J     10.972 0.001 std no  2MASS                             (10) 
SLSN-II_SN2006gy  Ks    9.938  0.001 std no  2MASS                             (10) 
SLSN-II_SN2006gy  W1    9.579  0.001 std no  WISE                              (2)  
SLSN-II_SN2006gy  W2    9.552  0.003 std no  WISE                              (2) 
SLSN-II_SN2006gy  W3    7.869  0.011 std no  WISE                              (2) 
SLSN-II_SN2006gy  W4    5.750  0.004 std no  WISE                              (2) 
SLSN-II_SN2006tf  FUV   22.49  0.19  AB  no  GALEX                             (7)
SLSN-II_SN2006tf  NUV   22.17  0.06  AB  no  GALEX                             (7)
SLSN-II_SN2006tf  u     22.35  0.19  AB  no  VLT/FORS2                         (4)
SLSN-II_SN2006tf  g     21.11  0.02  AB  no  VLT/FORS2                         (4)
SLSN-II_SN2006tf  r     20.90  0.02  AB  no  Magellan/IMACS                    (4)
SLSN-II_SN2006tf  R     20.85  0.03  AB  no  VLT/FORS2                         (4)
SLSN-II_SN2006tf  i     20.85  0.04  AB  no  Magellan/IMACS                    (4)
SLSN-II_SN2006tf  I     20.86  0.05  AB  no  VLT/FORS2                         (4)
SLSN-II_SN2006tf  z     20.72  0.06  AB  no  VLT/FORS2                         (4)
SLSN-II_SN2006tf  J     20.61  0.06  AB  no  VLT/HAWK-I                        (4)
SLSN-II_SN2006tf  Ks    20.43  0.09  AB  no  VLT/HAWK-I                        (4)
SLSN-II_SN2007bw  u     20.51  0.24  AB  no  SDSS                              (4)
SLSN-II_SN2007bw  g     19.20  0.03  AB  no  SDSS                              (4)
SLSN-II_SN2007bw  r     18.76  0.03  AB  no  SDSS                              (4)
SLSN-II_SN2007bw  i     18.60  0.03  AB  no  SDSS                              (4)
SLSN-II_SN2007bw  J     18.49  0.03  AB  no  CAHA/Omega2000                    (4)
SLSN-II_SN2007bw  H     18.20  0.04  AB  no  CAHA/Omega2000                    (4)
SLSN-II_SN2007bw  Ks    18.27  0.07  AB  no  CAHA/Omega2000                    (4)    
SLSN-II_SN2008am  F336W 21.20  0.03  AB  no  HST/WFC3                          (10)
SLSN-II_SN2008am  u     20.86  0.13  AB  no  SDSS                              (4)
SLSN-II_SN2008am  g     20.37  0.04  AB  no  SDSS                              (4)
SLSN-II_SN2008am  r     19.97  0.05  AB  no  SDSS                              (4)
SLSN-II_SN2008am  i     19.65  0.06  AB  no  SDSS                              (4)
SLSN-II_SN2008am  z     19.51  0.22  AB  no  SDSS                              (4)
SLSN-II_SN2008am  F160W 19.48  0.01  AB  no  HST/WFC3                          (10)
SLSN-II_SN2008am  FUV   21.60  0.12  AB  no  GALEX                             (7)
SLSN-II_SN2008am  NUV   21.28  0.08  AB  no  GALEX                             (7)
SLSN-II_SN2008am  Js    19.49  0.06  AB  no  VLT/ISAAC                         (4)
SLSN-II_SN2008am  H     19.38  0.08  AB  no  CAHA/Omega2000                    (4)
SLSN-II_SN2008am  Ks    19.39  0.12  AB  no  VLT/ISAAC                         (4)
SLSN-II_SN2008am  W1    19.70  0.15  AB  no  WISE                              (3)
SLSN-II_SN2008am  Y     19.45  0.06  AB  no  UKIRT/WFCAM                       (13)
SLSN-II_SN2008am  K     19.56  0.15  AB  no  UKIRT/WFCAM                       (13)
SLSN-II_SN2008es  B     26.96  0.25  std no  Keck/LRIS                         (10)
SLSN-II_SN2008es  F606W 26.41  0.09  AB  no  HST/WFC3                          (10)
SLSN-II_SN2008es  R     25.96  0.20  std no  Keck/LRIS                         (10)
SLSN-II_SN2008es  F160W 26.85  0.40  AB  no  HST/WFC3                          (10)
SLSN-II_SN2008es  g     26.44  0.27  AB  no  GTC/OSIRIS                        (4)
SLSN-II_SN2008fz  F336W 26.72  0.55  AB  no  HST/WFC3                          (10) 
SLSN-II_SN2008fz  R     25.58  0.19  std no  Keck/LRIS                         (10)
SLSN-II_SN2008fz  B     26.17  0.22  std no  Keck/LRIS                         (10)
SLSN-II_SN2008fz  F160W 25.18  0.06  AB  no  HST/WFC3                          (10)
SLSN-II_SN2009nm  g     23.00  0.20  AB  no  SDSS                              (4)
SLSN-II_SN2009nm  r     21.96  0.11  AB  no  SDSS                              (4)
SLSN-II_SN2009nm  i     22.12  0.20  AB  no  SDSS                              (4)
SLSN-II_SN2013hx  g     24.71  0.45  AB  no  Magellan/IMACS                    (4)
SLSN-II_SN2013hx  r     24.55  0.35  AB  no  Magellan/IMACS                    (4)
SLSN-II_SN2013hx  i     23.54  0.32  AB  no  Magellan/IMACS                    (4)
SLSN-I?_PTF09q    FUV   20.32  0.03  std no  SDSS                              (14) 
SLSN-I?_PTF09q    NUV   19.69  0.01  std no  SDSS                              (14) 
SLSN-I?_PTF09q    u     18.24  0.07  std no  SDSS                              (14) 
SLSN-I?_PTF09q    g     17.20  0.01  std no  SDSS                              (14) 
SLSN-I?_PTF09q    r     16.49  0.01  std no  SDSS                              (14) 
SLSN-I?_PTF09q    i     16.07  0.01  std no  SDSS                              (14) 
SLSN-I?_PTF09q    z     15.89  0.03  std no  SDSS                              (14) 
SLSN-I?_PTF09q    g     17.13  0.05  std no  PS1                               (1) 
SLSN-I?_PTF09q    r     16.54  0.03  std no  PS1                               (1) 
SLSN-I?_PTF09q    i     16.14  0.03  std no  PS1                               (1) 
SLSN-I?_PTF09q    z     15.98  0.03  std no  PS1                               (1) 
SLSN-I?_PTF09q    y     15.74  0.06  std no  PS1                               (1) 
SLSN-I?_PTF09q    J     14.47  0.14  std no  2MASS                             (15)  
SLSN-I?_PTF09q    H     13.75  0.16  std no  2MASS                             (15)  
SLSN-I?_PTF09q    Ks    13.35  0.21  std no  2MASS                             (15)  
SLSN-I?_PTF10gvb  NUV   21.49  0.31  std no  SDSS                              (14) 
SLSN-I?_PTF10gvb  u     21.10  0.22  std no  SDSS                              (1)
SLSN-I?_PTF10gvb  g     20.14  0.07  std no  PS1                               (1) 
SLSN-I?_PTF10gvb  r     19.85  0.07  std no  PS1                               (1) 
SLSN-I?_PTF10gvb  i     19.70  0.09  std no  PS1                               (1) 
SLSN-I?_PTF10gvb  z     19.38  0.12  std no  PS1                               (1) 
SLSN-I?_PTF10gvb  y     19.89  0.33  std no  PS1                               (1) 
SLSN-I?_PTF11mnb  u     20.42  0.09  std no  SDSS                              (1) 
SLSN-I?_PTF11mnb  g     19.43  0.03  std no  PS1                               (1) 
SLSN-I?_PTF11mnb  r     19.19  0.02  std no  PS1                               (1) 
SLSN-I?_PTF11mnb  i     18.95  0.03  std no  PS1                               (1) 
SLSN-I?_PTF11mnb  z     18.82  0.04  std no  PS1                               (1) 
SLSN-I?_PTF11mnb  y     18.86  0.10  std no  PS1                               (1) 
SLSN-I?_PTF12gty  i     23.78  0.24  std no  PS1                               (1) 
SLSN-I?_PTF12gty  z     22.53  0.21  std no  PS1                               (1) 
SLSN-I?_PTF12hni  u     20.16  0.20  std no  SDSS                              (1)
SLSN-I?_PTF12hni  g     19.19  0.01  std no  PS1                               (1) 
SLSN-I?_PTF12hni  r     18.94  0.03  std no  PS1                               (1) 
SLSN-I?_PTF12hni  i     18.87  0.03  std no  PS1                               (1) 
SLSN-I?_PTF12hni  z     18.57  0.03  std no  PS1                               (1) 
SLSN-I?_PTF12hni  y     18.51  0.11  std no  PS1                               (1) 
SLSN-I?_PTF12hni  W1    16.60  0.11  std no  WISE                              (3) 
SLSN-I?_PTF12hni  W2    16.03  0.23  std no  WISE                              (3) 
