Host           band    mag     magerr   system      extinction      source      ref
LGRB-SN_100316D   UVW2  18.745 0.066 AB  yes Swift/UVOT                        (19)
LGRB-SN_100316D   UVM2  18.615 0.088 AB  yes Swift/UVOT                        (19)
LGRB-SN_100316D   UVW1  18.739 0.090 AB  yes Swift/UVOT                        (19)
LGRB-SN_100316D   g     18.064 0.03  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   r     17.824 0.03  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   i     17.724 0.03  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   z     17.634 0.04  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   J     17.465 0.05  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   H     17.465 0.06  AB  yes 2.2m_MPG/GROND                    (25)
LGRB-SN_100316D   K     17.755 0.09  AB  yes 2.2m_MPG/GROND                    (25)   
LGRB_111225A      B     25.3   0.2   AB  no  Subaru/FOCAS                      (20)
LGRB_111225A      V     24.5   0.1   AB  no  Subaru/FOCAS                      (20)
LGRB_111225A      r     24.7   0.1   AB  no  Subaru/FOCAS                      (20)
LGRB_111225A      I     24.1   0.1   AB  no  Subaru/FOCAS                      (20)
LGRB_111225A      3.6   24.0   0.3   AB  no  Spitzer/IRAC                      (1)    
LGRB-SN_120422A   UVW2  22.575 0.10  AB  yes Swift/UVOT                        (21)
LGRB-SN_120422A   UVM2  22.373 0.10  AB  yes Swift/UVOT                        (21)
LGRB-SN_120422A   UVW1  22.274 0.10  AB  yes Swift/UVOT                        (21)
LGRB-SN_120422A   UVU   22.274 0.20  AB  yes Swift/UVOT                        (21)
LGRB-SN_120422A   u     22.314 0.078 AB  yes NOT/MOSCA                         (21)
LGRB-SN_120422A   g     21.623 0.048 AB  yes 2.2m_MPG/GROND                    (21)
LGRB-SN_120422A   r     21.094 0.039 AB  yes 2.2m_MPG/GROND                    (21)
LGRB-SN_120422A   R     20.964 0.068 AB  yes NOT/MOSCA                         (21)
LGRB-SN_120422A   i     20.994 0.049 AB  yes 2.2m_MPG/GROND                    (21)
LGRB-SN_120422A   I     20.924 0.068 AB  yes NOT/MOSCA                         (21)
LGRB-SN_120422A   z     21.054 0.058 AB  yes 2.2m_MPG/GROND                    (21)
LGRB-SN_120422A   Y     20.953 0.148 AB  yes CAHA/Omega2000                    (21)
LGRB-SN_120422A   J     20.863 0.095 AB  yes UKIRT/WFCAM                       (21)
LGRB-SN_120422A   Kp    20.715 0.195 AB  yes CAHA/Omega2000                    (21)
LGRB-SN_120422A   H     20.744 0.075 AB  yes UKIRT/WFCAM                       (21)
LGRB-SN_120422A   K     20.564 0.105 AB  yes UKIRT/WFCAM                       (21)
LGRB-SN_120422A   J     19.43  0.09  std no  P200/WIRC                         (1) 
LGRB-SN_120422A   Ks    18.50  0.17  std no  P200/WIRC                         (1)
LGRB-SN_120422A   3.6   21.12  0.03  AB  no  Spitzer/IRAC                      (1)      
LGRB-SN_130702A   u     24.50  0.14  AB  no  KeckI/LRIS                        (22)
LGRB-SN_130702A   g     23.66  0.03  AB  no  DCT                               (22)
LGRB-SN_130702A   r     23.15  0.04  AB  no  DCT                               (22)
LGRB-SN_130702A   i     23.03  0.06  AB  no  DCT                               (22)
LGRB-SN_130702A   z     23.02  0.12  AB  no  DCT                               (22)
LGRB-SN_130702A   J     21.72. 0.17  std no  KeckI/MOSFIRE                     (1) 
LGRB-SN_130702A   Ks    21.41  0.45  std no  KeckI/MOSFIRE                     (1)
LGRB-SN_130702A   3.6   23.8   0.3   AB  no  Spitzer/IRAC                      (1)         
LGRB-SN_150518A   u     22.78  0.03  std no  KeckI/LRIS                        (1)
LGRB-SN_150518A   g     22.068 0.139 std no  PS1                               (1)
LGRB-SN_150518A   r     21.431 0.077 std no  PS1                               (1)
LGRB-SN_150518A   i     21.252 0.126 std no  PS1                               (1)
LGRB-SN_150518A   z     20.651 0.109 std no  PS1                               (1)
LGRB-SN_150518A   y     20.798 0.344 std no  PS1                               (1)
